year;country;commodity_group;main_commercial_species;preservation;presentation;value(EUR);volume(kg);price
2003;Italy;Other marine fish;Other marine fish;PS5 Unspecified;PR4 Unspecified;     22205000,00;      4750000,00;            4,67
2003;Bulgaria;Bivalves and other molluscs and aquatic invertebrates;Mussel Mytilus spp;PS5 Unspecified;PR4 Unspecified;        11000,00;        15000,00;            0,73
2003;Austria;Salmonids;Salmon;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2003;Belgium;Freshwater fish;Pike;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2016;Bulgaria;Freshwater fish;Eel;PS5 Unspecified;PR4 Unspecified;        24790,00;         5210,00;            4,76
2006;United Kingdom;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;        13000,00;         4000,00;            3,25
2007;Austria;Freshwater fish;Carp;PS5 Unspecified;PR4 Unspecified;      1225000,00;       396000,00;            3,09
2007;Austria;Freshwater fish;Freshwater catfish;PS5 Unspecified;PR4 Unspecified;       372000,00;        91000,00;            4,09
2007;Austria;Salmonids;Salmon;PS5 Unspecified;PR4 Unspecified;        25000,00;         4000,00;            6,25
2006;Slovenia;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2000;Croatia;Freshwater fish;Pike-perch;PS5 Unspecified;PR4 Unspecified;        16000,00;         7000,00;            2,29
2000;Croatia;Freshwater fish;Freshwater catfish;PS5 Unspecified;PR4 Unspecified;        91000,00;        41000,00;            2,22
2003;Sweden;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;     12868000,00;      4141000,00;            3,11
2003;Slovenia;Other marine fish;Seabass, European;PS5 Unspecified;PR4 Unspecified;       308000,00;        55000,00;            5,60
2016;Bulgaria;Bivalves and other molluscs and aquatic invertebrates;Mussel Mytilus spp;PS5 Unspecified;PR4 Unspecified;      2934670,00;      3376250,00;            0,87
2016;Cyprus;Other marine fish;Other marine fish;PS5 Unspecified;PR4 Unspecified;        18000,00;         3000,00;            6,00
2003;Slovenia;Freshwater fish;Pike;PS5 Unspecified;PR4 Unspecified;         2000,00;         1000,00;            2,00
2003;Slovenia;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2011;United Kingdom;Bivalves and other molluscs and aquatic invertebrates;Abalone;PS5 Unspecified;PR4 Unspecified;         8000,00;         6000,00;            1,33
2006;Slovakia;Freshwater fish;Other freshwater fish;PS5 Unspecified;PR4 Unspecified;        54000,00;        45000,00;            1,20
2006;United Kingdom;Freshwater fish;Carp;PS5 Unspecified;PR4 Unspecified;         3000,00;            0,00;
2004;Bulgaria;Freshwater fish;Pike;PS5 Unspecified;PR4 Unspecified;         4000,00;         2000,00;            2,00
2012;Belgium;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;      2036000,00;       277000,00;            7,35
2012;Bulgaria;Bivalves and other molluscs and aquatic invertebrates;Mussel Mytilus spp;PS5 Unspecified;PR4 Unspecified;       561000,00;       878000,00;            0,64
2002;Denmark;Bivalves and other molluscs and aquatic invertebrates;Clam;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2002;Denmark;Groundfish;Cod;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
